單位屬性,主辦單位,所屬單位,ID,活動名稱,活動說明,活動屬性,類別,點數,開始日期/時間,結束日期/時間,報名方式,活動地點,主講人,主講人介紹,主持人,主持人介紹,主辦單位.1,聯絡人,開放對象,關鍵字標籤,Unnamed: 32
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16642,1101週三藝術之夜-1/5-異鄉子,週三藝術之夜,"全人學習,",美,2,2022-01-05 16:00:00,2022-01-05 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16641,1101週三藝術之夜-12/29-表演藝術聯展,週三藝術之夜,"全人學習,",美,2,2021-12-29 16:00:00,2021-12-29 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16640,1101週三藝術之夜-12/27-巴洛克音樂饗宴,週三藝術之夜,"全人學習,",美,2,2021-12-27 12:00:00,2021-12-27 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16639,1101週三藝術之夜-12/22-擊樂音樂劇場,週三藝術之夜,"全人學習,",美,2,2021-12-22 16:00:00,2021-12-22 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16638,1101週三藝術之夜-12/21-夜管樂high,週三藝術之夜,"全人學習,",美,2,2021-12-21 16:00:00,2021-12-21 23:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16637,1101週三藝術之夜-12/15-聲詠樂饗,週三藝術之夜,"全人學習,",美,2,2021-12-15 16:00:00,2021-12-15 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16636,1101週三藝術之夜-12/8-恣遊,週三藝術之夜,"全人學習,",美,2,2021-12-08 16:00:00,2021-12-08 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16634,1101週三藝術之夜-12/1-協奏曲之夜【德俄薈萃】,週三藝術之夜,"全人學習,",美,2,2021-12-01 16:00:00,2021-12-01 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16633,1101週三藝術之夜-10/24-第九屆創意作曲比賽,週三藝術之夜,"全人學習,",美,2,2021-11-24 16:00:00,2021-11-24 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16632,1101週三藝術之夜-11/17-大提琴樂曲之夜,週三藝術學院,"全人學習,",美,2,2021-11-17 16:00:00,2021-11-17 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16631,1101週三藝術之夜-11/10-琵琶重奏之夜,週三藝術之夜,"全人學習,",美,2,2021-11-10 16:03:00,2021-11-10 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16630,1101週三藝術之夜-11/3-玫好時光,週三藝術之夜,"全人學習,",美,2,2021-11-03 16:01:00,2021-11-03 21:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"藝文,",
學術,藝術學院,CRM 藝術學院／9000348 郭亮玎,16629,1101週三藝術之夜-10/27-收藏電影的人,週三藝術之夜,"全人學習,",美,2,2021-10-27 15:55:00,2021-10-27 20:00:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,,,,,藝術學院,9000348 郭亮玎 (藝術學院 秘書),不限身分,"講座,藝文,",
行政,教師教學發展組,CUFNA 教發組／A401114 謝怡萱,16626,【證照輔導系列講座】永不停止的烘焙證照路,講座主題：永不停止的烘焙證照路,"全人學習,",智,2,2021-11-23 13:00:00,2021-11-23 15:00:00,線上報名(學校報名系統),網路平台,如花 老師,,,,教學資源中心,教學資源中心謝怡萱小姐，#17906，xyx9@ulive.pccu.edu.tw；教學資源中心陳苑如小姐，#17911，cyr10@ulive.pccu.edu.tw,不限身分,講座,
行政,教師教學發展組,CUFNA 教發組／A401114 謝怡萱,16625,【證照輔導系列講座】臨心hihi，考照不難,講座主題：臨心hihi，考照不難,"全人學習,",體,2,2021-11-17 10:00:00,2021-11-17 12:00:00,線上報名(學校報名系統),網路平台,,,,,教學資源中心,教學資源中心謝怡萱小姐，#17906，xyx9@ulive.pccu.edu.tw；教學資源中心陳苑如小姐，#17911，cyr10@ulive.pccu.edu.tw,不限身分,講座,
行政,教師教學發展組,CUFNA 教發組／A401114 謝怡萱,16624,【證照輔導系列講座】保險知多少-保險證照自己考,講座主題：保險知多少-保險證照自己考,"全人學習,",德,2,2021-11-15 13:00:00,2021-11-15 15:00:00,線上報名(學校報名系統),網路平台,陳柏文 講師,,,,教學資源中心,教學資源中心謝怡萱小姐，#17906，xyx9@ulive.pccu.edu.tw；教學資源中心陳苑如小姐，#17911，cyr10@ulive.pccu.edu.tw,不限身分,講座,
行政,教學資源中心,CUFNA 教發組／A401114 謝怡萱,16619,【證照輔導系列講座】就。很。Bank,講座主題：就。很。Bank,"全人學習,",德,2,2021-11-12 10:00:00,2021-11-12 12:00:00,線上報名(學校報名系統),校內：大恩館 1樓 恩104國際會議廳,林威廷 講師,,,,教學資源中心,教學資源中心謝怡萱小姐，#17906，xyx9@ulive.pccu.edu.tw；教學資源中心陳苑如小姐，#17911，cyr10@ulive.pccu.edu.tw,不限身分,"講座,",
行政,教學資源中心,CUFNA 教發組／A401114 謝怡萱,16617,【證照輔導系列講座】芳香療法的學習之路,講座主題：芳香療法的學習之路,"全人學習,",美,2,2021-11-01 13:00:00,2021-11-01 15:00:00,線上報名(學校報名系統),網路平台,芳療師 吳鎮宇,,,,教學資源中心,教學資源中心謝怡萱小姐，#17906，xyx9@ulive.pccu.edu.tw；教學資源中心陳苑如小姐，#17911，cyr10@ulive.pccu.edu.tw,不限身分,"講座,",
行政,教學資源中心,CUFNA 教發組／A401114 謝怡萱,16615,"【證照輔導系列講座】畢業後的第一張門票-""食""育生涯 ""證""式起飛","講座主題：畢業後的第一張門票-""食""育生涯 ""證""式起飛","全人學習,",體,2,2021-10-28 13:00:00,2021-10-28 15:00:00,線上報名(學校報名系統),校內：大恩館 1樓 恩104國際會議廳,營養師 杯蓋,,,,教學資源中心,教學資源中心謝怡萱小姐，#17906，xyx9@ulive.pccu.edu.tw；教學資源中心陳苑如小姐，#17911，cyr10@ulive.pccu.edu.tw,不限身分,"講座,",
學術,科藝所,CRRIAT 科藝所／7401663 林貞吟,16597,跳出劇院的框架，來場世界的探險：戲劇在博物館、原住民部落的應用,"戲劇不只是劇院中被觀看欣賞的高堂藝術，當離開了劇場中，戲劇還能在不同場域，面對不同群群，成為知識與人之間的橋梁。

身兼戲劇治療師與戲劇教育工作者的講者蘇慶元，會分享他如何使用戲劇，跳脫出劇場的框架，在博物館帶領者安置機構的青少年，進入故宮博物院扮演偵探尋找炸彈，進而了解商朝青銅器，以及歐洲阿拉伯難民的議題；在部落，則使用戲劇，透過扮演與歷險，帶領部落兒童了解自己部落的遷徙歷史，或是神話。

讓我們一起看看戲劇是如何辦到的吧！
","全人學習,",智,2,2021-11-12 08:00:00,2021-11-12 10:00:00,自由參加,校內：大恩館 1樓 恩101遠距教學教室,蘇慶元,"聖文生發展中心、愛家發展中心、世界展望會 兼任戲劇治療師
台北藝術大學、台灣藝術大學 兼任講師
桃源國小 駐校藝術家
悅萃坊 執行長，小C戲劇實驗室 負責人
青年意義團體帶領者

前英國醫療專業人員協會認證註冊之戲劇治療師、前台安醫院表達性藝術治療中心 臨床戲劇治療師
前大屯國小、復興高中、中正高中、台灣戲曲學院 兼任講師
前台灣一人一故事劇場協會 理事長
",林玉琪,"科技藝術碩士學位學程 助理教授 林玉琪
本校諮商中心主任
",科技藝術碩士學位學程(科藝所),科藝所 林貞吟，#39705，jenyin@ulive.pccu.edu.tw,不限身分,"講座,數位,",
行政,學生諮商中心,CUFAK 諮商中心／A902997 邱子耕,16594,助理人員經驗分享,分享協助身障生的工作經驗，需要注意的細節，可能忽略的工作態度與做法，工作&身分上與服務對象的界線。,"全人學習,",智,2,2021-10-19 18:00:00,2021-10-19 20:00:00,洽主辦單位,校內：大恩館 3樓 恩302普通教室,許翠蓉聽打員,,,,學生諮商中心資源教室,資源教室 邱子耕 先生，#12622，qzg@ulive.pccu.edu.tw,不限身分,"教育訓練,講座,",
行政,閱覽組,CUBG 閱覽組／7603665 陳惠娟,16591,圖書館民國110年10月20日(三)10:10~12:00專題演講:「森林破壞後對環境之改變與影響」,"專題演講:「森林破壞後對環境之改變與影響」• 主講人：王義仲 教授 (森保系系主任)• 主講人：王義仲 教授 (森保系系主任)• 時　間：民國110年10月20日 周三 10:10-12:00• 地　點：Teams（線上演講連結網址： https://is.gd/gpqhyc )可獲全人學習護照""智""2點(請由專區登入Teams參加演講，方能採計全人學習點數)","全人學習,",智,2,2021-10-20 10:00:00,2021-10-20 12:00:00,自由參加,網路平台,森林保育學系系主任 王義仲 教授,學經歷：主講人介紹中國文化大學森保系教授兼系主任‧教育部地球與環境科教科書審定委員‧環保署縣市SIP環保考核委員‧台北市樹木保護委員會委員‧農委會全民造林運動造林成果查證委員‧農委會林務局綠色及景觀造林委員‧中華紙漿公司公派董事 專長：‧森林資源利用‧森林與環境‧木竹材之碳估算,圖書館 陳惠娟,,圖書館,圖書館 陳惠娟，#14203，joyce@ulive.pccu.edu.tw,不限身分,"講座,環境議題 森林破壞,",
行政,職涯發展與校友服務組,CUFAJ 職發組／虞如斯,16589,翻轉人生─生涯諮詢師的6次線上生涯團體,"對未來感到焦慮嗎？
希望讓生活更有意義嗎？
期待更清楚自己前進的方向嗎？
歡迎參加這次的生涯工作坊「翻轉人生」！

其實這學期初的線上問卷活動「我的未來我做主」，學生們統計結果顯示，最希望提升的生涯規畫能力前三名為「更了解自己的優勢能力」、「專業與未來接軌與結合的能力」及「提升自我認識」。

因此本組特別邀請兩位經歷豐富的生涯諮詢師，設計「翻轉人生─生涯諮詢師的線上生涯課」，希冀協助學生從自我認識的探索活動，逐步形成個人定向與抉擇，並提升未來職場的因應能力。

活動日期：10/20、10/27、11/3、11/10、11/24、12/1活動時間：10:10-12:00
活動地點：線上Teams & 大孝館8樓求慧廳
活動講師：葉倪秀諮商心理師、酒小萍諮商心理師
報名網址：請直接前往職發組報名並繳交保證金(參與即全額退還)！

前三次活動分別給予全人學習點數智育2點，後三場則每次給予體育2點。

詳細情形可點開連結了解！名額有限，快來報名吧！(以全程參與者優先錄取)


https://forms.gle/kAPKLT1qRuQtDnQD6","全人學習,",體,6,2021-11-10 10:00:00,2021-12-01 12:00:00,洽主辦單位,校內：大孝館 8樓 孝805求慧室,,,,,職發組,職發組 虞如斯 諮商心理師，#12506，yrs@ulive.pccu.edu.tw,不限身分,"健康,",
行政,職涯發展與校友服務組,CUFAJ 職發組／虞如斯,16588,翻轉人生─生涯諮詢師的6次線上生涯團體,"對未來感到焦慮嗎？
希望讓生活更有意義嗎？
期待更清楚自己前進的方向嗎？
歡迎參加這次的生涯工作坊「翻轉人生」！

其實這學期初的線上問卷活動「我的未來我做主」，學生們統計結果顯示，最希望提升的生涯規畫能力前三名為「更了解自己的優勢能力」、「專業與未來接軌與結合的能力」及「提升自我認識」。

因此本組特別邀請兩位經歷豐富的生涯諮詢師，設計「翻轉人生─生涯諮詢師的線上生涯課」，希冀協助學生從自我認識的探索活動，逐步形成個人定向與抉擇，並提升未來職場的因應能力。

活動日期：10/20、10/27、11/3、11/10、11/24、12/1
活動時間：10:10-12:00
活動地點：線上Teams & 大孝館8樓求慧廳
活動講師：葉倪秀諮商心理師、酒小萍諮商心理師
報名網址：請直接前往職發組報名並繳交保證金(參與即全額退還)！

前三次活動分別給予全人學習點數智育2點，後三場則每次給予體育2點。

詳細情形可點開連結了解！名額有限，快來報名吧！(以全程參與者優先錄取)

https://forms.gle/kAPKLT1qRuQtDnQD6","全人學習,",智,6,2021-10-20 10:00:00,2021-11-03 12:00:00,洽主辦單位,校內：大孝館 8樓 孝805求慧室,,,,,職發組,職發組 虞如斯 諮商心理師，#12506，yrs@ulive.pccu.edu.tw,不限身分,"健康,",
行政,學生諮商中心,CUFAK 諮商中心／9800956 王蔚竣,16577,110(1)正念芳療紓壓工作坊-「芳」輕鬆,品聞芳香的氣味可以對身心產生舒緩的感受，搭配正念療法更能協助我們在面對忙碌生活也可以好好紓壓一下,"全人學習,",體,3,2021-11-08 13:00:00,2021-11-08 16:00:00,洽主辦單位,校內：大孝館 6樓 孝603教育學院會議室及研究所教室,蔡宜軒 諮商心理師,心田心理諮商所,,,學生諮商中心,學生諮商中心 王蔚竣老師，#12602,"學生,","健康,工作坊,芳療,精油,紓壓,",
行政,學生諮商中心,CUFAK 諮商中心／9800956 王蔚竣,16576,110(1)園藝紓壓工作坊-柔軟、新鮮、翠綠，打造屬於你的小森林,透過「植物」以及「與植物有關的元素」讓學生從中獲得生理、心理、社交認知及經濟效益的福祉效益，增進自我覺察與發現，並促進幸福感的提升,"全人學習,",體,3,2021-11-03 13:00:00,2021-11-03 16:00:00,洽主辦單位,校內：大孝館 2樓 孝205學務處學生諮商中心,辛宜娟 諮商心理師,財團法人張老師基金會台北分事務所,,,學生諮商中心,學生諮商中心 王蔚竣老師，#12602,"學生,","健康,工作坊,園藝,植物,自我覺察,幸福感,紓壓,",
學術,理學院,CRS 理學院／8002304 林琦又,16569,110深耕在地文化專題演講(4):咖啡生活旅行10.29(五)下午3:00義610室,藉由舉辦中華文化在地創新發展專題演講，以提升同學對在地文化的瞭解與體認，講者分享在尋豆過程的點點滴滴，及分享如何沖煮咖啡品味咖啡，透過演講者知識及經歷的分享，讓在場師生感受在地文化的魅力。,"全人學習,",德,2,2021-10-29 15:00:00,2021-10-29 17:00:00,現場報名,校內：大義館 6樓 義610理學院會議室及研究所教室,咖啡迷品牌尋豆師張喬雅營運長,咖啡迷品牌尋豆師 優勢文創行銷有限公司營運長,理學院盧光輝院長,理學院院長,理學院,理學院林琦又秘書，#25005，crs@dep.pccu.edu.tw,不限身分,"講座,",
學術,理學院,CRS 理學院／8002304 林琦又,16568,110深耕在地文化專題演講(3):數據的力量 - AI的魔力在農業的應用！10.20(三)下午3:00義405室,藉由舉辦中華文化在地創新發展專題演講，以提升同學對在地文化的瞭解與體認，講者分享如何利用AI科技，運用在農業上的成果，透過演講者知識及經歷的分享，讓在場師生感受在地文化的魅力。,"全人學習,",德,2,2021-10-20 15:00:00,2021-10-20 17:00:00,現場報名,校內：大義館 4樓 義405普通教室,金緻網路公司郭俊男執行長,金緻網路公司執行長,應數系鄭文巧主任,應數系主任,理學院,理學院林琦又秘書，#25005，crs@dep.pccu.edu.tw,不限身分,"講座,",
行政,學生諮商中心,CUFAK 諮商中心／A503243 溫乘瑄,16565,110-1學期學生諮商中心性平講座：練愛快吵店－聽懂關係中的男難細語,【110-1學期學生諮商中心講座資訊】【體2點】主題：練愛快吵店－聽懂關係中的男難細語 時間：110年10月20日(三)13:10-15:00  地點：Teams線上講座，活動當天會將活動連結傳送至學生信箱  講師：羅仁鴻諮商心理師 報名：1.請點選連結報名　2.可至學生專區活動訊息搜尋 寶寶心裡苦，但寶寶不說。許多男生在戀愛中常常有苦說不清，有時說了，另一半卻又聽不懂，最後只能選擇在沈默與壓力中度過。當男人戀愛時，是什麼樣子？你是否了解自己的男伴？身為男生的你，又了解自己多少呢？在練愛島嶼中，本次邀請到羅仁鴻諮商心理師，以男性的角度帶領我們一起細細的品味親密關係中許多的「男以言說」，理解男生在關係中如同「涼拌苦瓜」的心情，吵出一道道如同美味佳餚的新關係。#體育點數2點#鳥語花香，讓愛遠播-性別平等教育講座 #天堂鳥-聽懂就能自由、幸福快樂,"全人學習,",體,2,2021-10-20 13:00:00,2021-10-20 15:00:00,線上報名(學校報名系統),網路平台,,,,,學務處學生諮商中心,溫乘瑄約聘心理師，#12610，wcx2@ulive.pccu.edu.tw,不限身分,"男性關懷、溝通、伴侶關係,",
學術,理學院,CRS 理學院／8002304 林琦又,16563,110.1科技倫理院演講(2):青春無敵，如何做好你自己？(10.25下午3:10-5:00 Microsoft Teams線上演講),本課程將先從人性面來教育同學，發揮善良的公益精神，成熟審慎的使用科技來造福人群，才是根本之道。藉由本課程希望能培養同學優質科技倫理的思想與態度，以及往後面對複雜倫理問題時，能有正確的判斷與解決問題的能力。,"全人學習,",德,2,2021-10-25 15:00:00,2021-10-25 17:00:00,洽主辦單位,網路平台,五福旅行社顧問/前總經理謝宏明,五福旅行社顧問/前總經理,理學院盧光輝院長,理學院院長,理學院,理學院林琦又秘書，#25005，crs@dep.pccu.edu.tw,不限身分,講座,
學術,理學院,CRS 理學院／8002304 林琦又,16562,110災害防減講座(3):國際救援組織與救援經驗(10.26下午1:10義526),國際救援機構與救援行動經驗談，如何參加災害救援、介紹救援訓練單位和招募時間,"全人學習,",群,2,2021-10-26 13:00:00,2021-10-26 15:00:00,現場報名,校內：大義館 5樓 義526地理系專業教室,台北市消防局鳳凰志工隊陳大誠博士,台北市消防局鳳凰志工隊博士,地學所所長李載鳴,地學所所長,理學院,理學院林琦又秘書，#25005，crs@dep.pccu.edu.tw,不限身分,"講座,",
學術,理學院,CRS 理學院／8002304 林琦又,16561,110災害防減講座(2):傳染病大流行對交通運輸地理的衝擊與風險管理-以Covid-19之於全球旅外緊急醫療為例(10.19下午1:10義526),以長期醫療轉運以及商業救護車服務系統的經驗奠基，建立以救護車船、直升機、醫療專機等各種運送方式，提供醫療救援轉運的國際服務。,"全人學習,",群,2,2021-10-19 13:00:00,2021-10-19 15:00:00,現場報名,校內：大義館 5樓 義526地理系專業教室,聯合國際救援公司徐震宇執行長,聯合國際救援公司執行長,地學所所長李載鳴,地學所所長,理學院,理學院林琦又秘書，#25005，crs@dep.pccu.edu.tw,不限身分,"講座,",
